,City,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,vaini,-21.2,-175.2,75.36,88,75,10.36,TO,1661830666
1,xuanhua,40.6103,115.0447,75.65,46,0,5.39,CN,1661830666
2,plainview,40.7765,-73.4673,76.96,82,100,11.5,US,1661830667
3,kapaa,22.0752,-159.319,82.72,73,40,12.66,US,1661830667
4,busselton,-33.65,115.3333,59.38,56,6,2.71,AU,1661830667
5,port alfred,-33.5906,26.891,54.46,61,90,15.61,ZA,1661830668
6,ambulu,-8.345,113.6058,83.25,69,95,8.97,ID,1661830668
7,carnarvon,-24.8667,113.6333,70.99,34,13,11.52,AU,1661830669
8,bengkulu,-3.8004,102.2655,79.45,76,100,2.15,ID,1661830669
9,punta arenas,-53.15,-70.9167,41.11,81,75,5.75,CL,1661830456
10,cape town,-33.9258,18.4232,53.89,66,0,21.85,ZA,1661830669
11,hilo,19.7297,-155.09,81.28,80,100,9.22,US,1661830646
12,chuy,-33.6971,-53.4616,42.08,82,0,5.12,UY,1661830670
13,kaitangata,-46.2817,169.8464,55.44,60,37,4.43,NZ,1661830670
14,georgetown,5.4112,100.3354,86.9,77,20,5.01,MY,1661830671
15,dikson,73.5069,80.5464,39.45,93,100,9.28,RU,1661830671
16,beringovskiy,63.05,179.3167,50.47,98,100,12.77,RU,1661830671
17,brae,60.3964,-1.353,51.8,79,86,9.98,GB,1661830672
18,konevo,62.1215,39.3192,49.42,90,100,9.78,RU,1661830672
19,narsaq,60.9167,-46.05,43.02,89,99,4.79,GL,1661830672
20,mataura,-46.1927,168.8643,57.47,60,60,2.37,NZ,1661830673
21,hualmay,-11.0964,-77.6139,60.93,84,18,9.75,PE,1661830673
22,monchegorsk,67.9397,32.8739,42.28,83,99,10.51,RU,1661830673
23,tapalpa,19.95,-103.7667,57.27,98,49,2.95,MX,1661830674
24,vardo,70.3705,31.1107,42.78,75,75,14.97,NO,1661830674
25,ushuaia,-54.8,-68.3,38.86,93,20,2.3,AR,1661830674
26,tuktoyaktuk,69.4541,-133.0374,44.6,100,100,3.44,CA,1661830675
27,rikitea,-23.1203,-134.9692,73.04,84,6,12.53,PF,1661830675
28,barrow,71.2906,-156.7887,41.02,87,100,8.05,US,1661830675
29,butaritari,3.0707,172.7902,82.13,71,93,16.08,KI,1661830676
30,saint-philippe,-21.3585,55.7679,69.39,80,5,8.08,RE,1661830676
31,saskylakh,71.9167,114.0833,50.25,57,100,6.55,RU,1661830676
32,valparaiso,-33.0393,-71.6273,57.0,93,100,5.75,CL,1661830502
33,hobart,-42.8794,147.3294,55.26,91,75,11.5,AU,1661830677
34,hami,42.8,93.45,85.57,14,1,9.53,CN,1661830677
